,Capital Stock Change,Beginning Cash,Assets Liabilities Change (Total),Financing cash flow,Capital expenditures,Other financial activities,Stock Based Compensation,Change in Cash,Net Aquisitions,Change in inventories,Repayment/Issuance of Debt (Net),Ending Cash,Accounts Receivable Change,Exchange Rate Adjustment,Operating Cash Flow,Non Cash Items (Other),Net Cash/Marketcap,Net Income,Dividends Paid (Common),Accounts Payable Change,Change in other assets and liabilities,Investing cash flow,"Equity Repurchase (Common, Net)",Long-Term Investments Change (Net),Issuance/Purchase of Shares,Change in payables and accrued liability,Depreciation & Amortization,Investments Change (Net),Other investing activities,Other operating activities,year,ticker,Short Term Investments Change (Net),Change in intangibles (net),Dividends Paid (Total),Income tax paid,Dividends Paid (Preffered),"Equity Repurchase (Preffered, Net)",Discontinued Operations and Adjustments
0,-6000000000.0,36477000000.0,-20886000000.0,9718000000.0,-58321000000.0,36587000000.0,19621000000.0,17776000000.0,-8316000000.0,-2592000000.0,15718000000.0,54253000000.0,-21897000000.0,-1093000000.0,46752000000.0,28439000000.0,0.0137,-2722000000.0,0.0,2945000000.0,2216000000.0,-37601000000.0,-6000000000.0,29036000000.0,-6000000000.0,-1558000000.0,41921000000.0,29036000000.0,0.0,0.0,2022,AMZN,,,,,,,
1,0.0,42377000000.0,-19611000000.0,6291000000.0,-55396000000.0,-1412000000.0,12757000000.0,-5900000000.0,-1985000000.0,-9487000000.0,6291000000.0,36477000000.0,-18163000000.0,-364000000.0,46327000000.0,-1859000000.0,-0.0186,33364000000.0,0.0,3602000000.0,2314000000.0,-58154000000.0,0.0,-773000000.0,0.0,2123000000.0,34433000000.0,-773000000.0,-162000000.0,0.0,2021,AMZN,,,,,,,
2,0.0,36410000000.0,13481000000.0,-1104000000.0,-35044000000.0,6555000000.0,9208000000.0,5967000000.0,-2325000000.0,-2849000000.0,-1104000000.0,42377000000.0,-8169000000.0,618000000.0,66064000000.0,6072000000.0,-0.0224,21331000000.0,0.0,17480000000.0,1265000000.0,-59611000000.0,0.0,-22242000000.0,0.0,5754000000.0,25180000000.0,-22242000000.0,0.0,-71000000.0,2020,AMZN,,,,,,,
3,0.0,32173000000.0,-2438000000.0,-10066000000.0,-12689000000.0,6779000000.0,6864000000.0,4237000000.0,-2461000000.0,-3278000000.0,-10066000000.0,36410000000.0,-7681000000.0,70000000.0,38514000000.0,7575000000.0,-0.0189,11588000000.0,0.0,8193000000.0,1711000000.0,-24281000000.0,0.0,-9131000000.0,0.0,-1383000000.0,21789000000.0,-9131000000.0,0.0,164000000.0,2019,AMZN,,,,,,,
4,0.0,21856000000.0,-1043000000.0,-7686000000.0,-11323000000.0,5911000000.0,5418000000.0,10317000000.0,-2186000000.0,-1314000000.0,-7686000000.0,32173000000.0,-4615000000.0,-351000000.0,30723000000.0,6078000000.0,-0.0243,10073000000.0,0.0,3263000000.0,1151000000.0,-12369000000.0,0.0,1140000000.0,0.0,472000000.0,15341000000.0,1140000000.0,0.0,274000000.0,2018,AMZN,,,,,,,
5,0.0,19934000000.0,-242000000.0,9928000000.0,-10058000000.0,4125000000.0,4215000000.0,1922000000.0,-13972000000.0,-3583000000.0,9928000000.0,21856000000.0,-4780000000.0,713000000.0,18365000000.0,3894000000.0,-0.0109,3033000000.0,0.0,7100000000.0,738000000.0,-27084000000.0,0.0,-3054000000.0,0.0,283000000.0,11478000000.0,-3054000000.0,0.0,202000000.0,2017,AMZN,,,,,,,
6,0.0,16175000000.0,3847000000.0,-3716000000.0,-6737000000.0,3749000000.0,2975000000.0,3759000000.0,-116000000.0,-1426000000.0,-3716000000.0,19934000000.0,-3436000000.0,-212000000.0,17203000000.0,2709000000.0,-0.0512,2371000000.0,0.0,5030000000.0,1955000000.0,-9516000000.0,0.0,-2663000000.0,0.0,1724000000.0,8116000000.0,-2663000000.0,829000000.0,160000000.0,2016,AMZN,,,,,,,
7,0.0,14557000000.0,2557000000.0,-3882000000.0,-4589000000.0,0.0,2119000000.0,1333000000.0,-795000000.0,-2187000000.0,-3882000000.0,15890000000.0,-1755000000.0,-374000000.0,12039000000.0,2450000000.0,-0.0367,596000000.0,0.0,4294000000.0,1292000000.0,-6450000000.0,0.0,-1066000000.0,0.0,913000000.0,6281000000.0,-1066000000.0,0.0,155000000.0,2015,AMZN,,,,,,,
8,0.0,8658000000.0,974000000.0,4432000000.0,-4893000000.0,6000000.0,1497000000.0,5899000000.0,-979000000.0,-1193000000.0,4426000000.0,14557000000.0,-1039000000.0,-310000000.0,6842000000.0,1234000000.0,-0.0638,-241000000.0,0.0,1759000000.0,741000000.0,-5065000000.0,0.0,807000000.0,0.0,706000000.0,4746000000.0,807000000.0,0.0,129000000.0,2014,AMZN,,,,,,,
9,0.0,8084000000.0,767000000.0,-539000000.0,-3444000000.0,78000000.0,1134000000.0,574000000.0,-312000000.0,-1410000000.0,-617000000.0,8658000000.0,-846000000.0,-86000000.0,5475000000.0,1067000000.0,-0.0508,274000000.0,0.0,1888000000.0,399000000.0,-4276000000.0,0.0,-520000000.0,0.0,736000000.0,3253000000.0,-520000000.0,0.0,114000000.0,2013,AMZN,,,,,,,
