,P/FCF ratio,EV/EBITDA,Intangible Assets out of Total Assets,Average Days of Receivables,EV/Sales,Capex to Sales,Free Cash Flow,"Selling, General and Administrative Expense of Revenue",Net Profit Margin,Cash per Share,P/S ratio,P/B ratio,Capital Expenditures,ROE,Graham Number,Interest Debt per Share,Operating CF per Share,Average Days of Payables,Debt/Equity,Operating CF/Net income,Revenue per Share,Graham Net Nets,ROIC,Research and Development Expense of Revenue,Working Capital,EV/EBIT,Capex per Share,Free Cash Flow Yield,Average Payables,Debt/Assets,Shareholders Equity per Share,Depreciation/Fixed assets,Average Receivables,Inventory Turnover,ROA,Quick Ratio,Net Debt/EBITDA,EV/Operating CF,Share Based Compensation of Revenue,P/E ratio,Net Current Asset Value,Average Inventory,Accounts Payable Turnover,Asset Turnover,Interest Coverage,Book value per Share,Cash ROIC,Current Ratio,Accounts Receivable Turnover,Price to Tangible BV,Average Common Equity,P/Operating CF,EV/FCF,Return on Tangible Assets,Average Assets,Free Cash Flow per Share,Earnings Yield,Days of Inventory on Hand,Capex/Depreciation,year,ticker
0,0.0,16.3636,0.0438,30.0815,1.7246,0.1135,-11569000000.0,0.2693,-0.0053,6.8727,1.7013,5.9874,-58321000000.0,-0.0191,0.0,8.0483,4.5885,100.5917,0.5615,-17.1756,50.4449,-0.1942,0.0484,0.1424,-8602000000.0,72.3708,-5.7239,-0.0132,79132000000.0,0.1772,14.3334,0.2245,37625500000.0,8.616,-0.0062,0.7232,0.2211,18.9596,0.0382,0.0,-169841000000.0,33522500000.0,3.65,1.1639,0.0,14.3334,-0.4696,0.9446,13.6605,6.9534,142144000000.0,29.9736,-76.6184,-0.0153,441612000000.0002,-1.1354,-0.0031,43.4781,-1.3912,2022,AMZN
1,0.0,27.9088,0.0365,25.5527,3.5233,0.1179,-9069000000.0,0.2479,0.071,9.4938,3.5901,12.2008,-55396000000.0,0.2881,31.8359,6.3919,4.5791,105.4268,0.4678,1.3885,46.4389,-0.0716,0.1455,0.1193,19314000000.0,66.535,-5.4755,-0.0054,75601500000.0,0.1538,13.6646,0.2148,28716500000.0,9.6516,0.09,0.9063,-0.5291,35.7313,0.0272,50.5749,-120724000000.0,28217500000.0,3.6024,1.2668,0.0,13.6646,-0.3812,1.1358,16.3607,13.7271,115824500000.0,76.3699,-182.5256,0.1858,370872000000.0,-0.8964,0.0198,43.7447,-1.6088,2021,AMZN
2,52.5246,33.1298,0.0468,23.203,4.1259,0.0908,31020000000.0,0.2259,0.0553,8.4354,4.2203,17.4437,-35044000000.0,0.2744,21.1522,4.7907,6.6031,113.4845,0.5132,3.0971,38.5871,-0.0583,0.2514,0.1107,6348000000.0,69.5598,-3.5026,0.019,59861000000.0,0.1492,9.3357,0.2226,22679000000.0,10.5349,0.0781,0.862,-0.7584,24.1107,0.0239,76.4554,-95058000000.0,22146000000.0,3.8975,1.413,0.0,9.3357,-0.2084,1.0502,17.023,20.7855,77732000000.0,53.5413,51.3491,0.1786,273221500000.0,3.1004,0.0131,37.2264,-1.3917,2020,AMZN
3,35.3461,24.65,0.0655,27.0846,3.1924,0.0452,25825000000.0,0.2293,0.0413,5.5689,3.254,14.7086,-12689000000.0,0.2195,12.8729,3.8202,3.8982,104.0366,0.6082,3.3236,28.3929,-0.0732,0.2029,0.1281,8522000000.0,61.587,-1.2843,0.0283,42687500000.0,0.1676,6.2814,0.2997,18746500000.0,8.7885,0.0597,0.8636,-0.4756,23.2522,0.0245,78.7974,-66854000000.0,18835500000.0,3.8779,1.4464,0.0,6.2814,-0.2208,1.097,14.964,19.2959,52804500000.0,46.4323,34.6771,0.1427,193948000000.0,2.6139,0.0127,45.195,-0.5824,2019,AMZN
4,37.7048,25.7085,0.0894,26.1376,3.0647,0.0486,19400000000.0,0.224,0.0433,4.2351,3.1409,16.7966,-11323000000.0,0.2827,10.1942,3.3878,3.1543,100.1759,0.7577,3.05,23.9104,-0.0601,0.2199,0.1238,6710000000.0,57.4607,-1.1625,0.0265,36404000000.0,0.2029,4.4711,0.2482,14920500000.0,8.3776,0.0685,0.847,-0.2973,23.2308,0.0233,72.7009,-43998000000.0,16610500000.0,3.8225,1.5845,0.0,4.4711,-0.2638,1.0981,15.6085,25.2224,35629000000.0,44.3936,36.7896,0.147,146979000000.0,1.9918,0.0138,45.0466,-0.7381,2018,AMZN
5,68.7035,36.2216,0.1017,27.0139,3.1736,0.0565,8307000000.0,0.2192,0.0171,3.2277,3.2087,20.5969,-10058000000.0,0.1291,4.5265,3.2214,1.913,112.8776,1.1161,6.0551,18.5277,-0.0761,0.0928,0.1272,2314000000.0,137.4761,-1.0477,0.0146,29962500000.0,0.2355,2.8864,0.2349,10751500000.0,8.1383,0.0283,0.7627,-0.0039,30.7366,0.0237,188.4311,-43404000000.0,13754000000.0,3.7358,1.6568,0.0,2.8864,-0.3403,1.04,16.5434,39.7465,23497000000.0,46.1822,67.952,0.0593,107356000000.0,0.8653,0.0053,52.3269,-0.8763,2017,AMZN
6,34.1302,27.5499,0.0454,22.3825,2.4923,0.0495,10466000000.0,0.2006,0.0174,2.7406,2.6268,18.5225,-6737000000.0,0.1452,3.3827,1.3598,1.8147,104.6597,0.6684,7.2556,14.3446,-0.0513,0.4223,0.1183,1965000000.0,80.965,-0.7107,0.0293,22853000000.0,0.1546,2.0343,0.2788,6996500000.0,8.1335,0.032,0.7833,-1.0641,19.7012,0.0219,150.72,-18336000000.0,10852000000.0,3.8623,1.8358,0.0,2.0343,-0.2048,1.0448,19.4364,23.0441,16334500000.0,32.7142,32.3829,0.0763,74074500000.0,1.104,0.0066,47.3944,-0.8301,2016,AMZN
7,42.3622,35.708,0.0581,19.2859,2.8411,0.0429,7450000000.0,0.1907,0.0056,2.1208,2.9494,23.5803,-4589000000.0,0.0494,1.4365,0.8808,1.289,103.9051,0.6147,20.1997,11.4567,-0.0496,0.7741,0.1172,1818000000.0,136.1476,-0.4913,0.0236,18428000000.0,0.1271,1.433,0.2876,5633000000.0,7.7285,0.01,0.7514,-1.3602,25.2527,0.0198,527.9688,-15658000000.0,9271000000.0,3.8882,1.7946,0.0,1.433,-0.2366,1.0536,18.9963,32.7895,12062500000.0,35.3374,40.8077,0.0252,59626000000.0,0.7976,0.0019,52.1792,-0.7306,2015,AMZN
8,73.5787,27.2652,0.0609,23.0186,1.5087,0.055,1949000000.0,0.1871,-0.0027,1.8848,1.6115,13.3512,-4893000000.0,-0.0235,0.0,0.8945,0.7405,95.7346,0.7695,-28.39,9.6307,-0.0867,0.07,0.1042,3238000000.0,754.2348,-0.5295,0.0136,15796000000.0,0.1516,1.1624,0.2797,5189500000.0,7.9888,-0.0051,0.8198,-1.8584,19.622,0.0168,0.0,-12437000000.0,7855000000.0,3.9727,1.8801,0.0,1.1624,-0.278,1.1153,17.1477,19.3216,10243500000.0,21.3559,68.8834,-0.0119,47332000000.0,0.2109,-0.0017,48.2715,-1.031,2014,AMZN
9,89.7349,43.2705,0.0661,23.3702,2.3236,0.0463,2031000000.0,0.1726,0.0037,1.3618,2.4479,18.7001,-3444000000.0,0.0305,0.8413,0.3491,0.599,101.9462,0.3274,19.9818,8.1457,-0.0318,0.9503,0.0882,1645000000.0,232.2089,-0.3768,0.0111,14225500000.0,0.0795,1.0663,0.2971,4292000000.0,8.0614,0.0075,0.7491,-2.3152,31.5974,0.0152,675.9322,-5788000000.0,6721000000.0,3.8087,2.0478,0.0,1.0663,-0.2156,1.0716,17.3467,25.7018,8969000000.0,32.6733,85.1775,0.0218,36357000000.0,0.2222,0.0015,49.9255,-1.0587,2013,AMZN
0,39.839,18.3734,0.005,13.2268,3.9252,0.0765,8493000000.0,0.0484,0.1545,7.0879,4.1535,7.4381,-6231000000.0,0.329,36.2718,1.145,4.7042,91.8688,0.0788,1.1702,26.0262,0.012,0.3174,0.0377,14208000000.0,23.4148,-1.9907,0.0251,12640000000.0,0.0435,14.5332,0.1591,2432500000.0,6.5185,0.1742,0.9411,-1.0688,21.7164,0.0192,26.8678,4068000000.0,9298000000.0,4.795,1.1277,0.0,14.5332,-0.1238,1.532,33.489,7.5056,38252000000.0,103.2193,37.6489,0.3333,72234500000.0,2.7134,0.0372,77.3191,-1.6629,2022,TSLA
1,275.9696,109.3738,0.0074,12.973,19.1708,0.1432,3787000000.0,0.0839,0.1026,5.9841,19.366,33.6075,-7710000000.0,0.2043,20.8871,2.4339,3.8854,90.9845,0.2322,2.0813,18.1896,-0.0039,0.1988,0.0482,7395000000.0,158.1837,-2.6056,0.0036,8038000000.0,0.1159,10.4816,0.1542,1899500000.0,8.1593,0.0967,0.9957,-1.1135,89.748,0.0394,190.4211,-4016000000.0,4929000000.0,5.0034,0.942,0.0,10.4816,-0.1321,1.3753,28.3354,34.1101,27045000000.0,227.3364,273.1883,0.2102,57139500000.0,1.2798,0.0053,52.2492,-2.6486,2021,TSLA
2,237.0841,150.7942,0.01,21.8287,20.6376,0.1004,2776000000.0,0.0997,0.0219,6.9278,20.8697,28.522,-3167000000.0,0.0452,6.7191,4.3124,2.124,88.678,0.5229,8.613,11.2709,-0.0036,0.0791,0.0473,12469000000.0,326.393,-1.1319,0.0042,4911000000.0,0.2314,8.247,0.1822,1605000000.0,6.5088,0.016,1.4928,-1.6956,109.5116,0.055,966.79,-2356000000.0,3826500000.0,5.0715,0.7295,0.0,8.247,-0.1248,1.8751,19.6486,29.1796,15271000000.0,218.0012,234.448,0.0274,43228500000.0,0.9921,0.001,60.1006,-1.3639,2020,TSLA
3,69.1662,39.1613,0.0157,19.6623,3.3221,0.0542,1073000000.0,0.1077,-0.0351,2.3555,3.0196,9.9391,-1332000000.0,-0.1304,0.0,5.1499,0.9038,67.1127,1.8353,-2.79,9.2364,-0.1986,-0.0029,0.0546,1436000000.0,0.0,-0.5006,0.0145,3588000000.0,0.3994,2.8061,0.2072,1136500000.0,6.1542,-0.0269,0.7117,3.5664,33.9506,0.0365,0.0,-14739000000.0,3332500000.0,5.716,0.7675,0.0,2.8061,-0.2912,1.1346,21.626,10.7093,6612000000.0,52.0809,76.0963,-0.0729,32024500000.0,0.4032,-0.012,63.2152,-0.6184,2019,TSLA
4,0.0,38.8021,0.0118,16.1402,3.023,0.0979,-3000000.0,0.1321,-0.0455,1.5158,2.6459,9.8635,-2101000000.0,-0.1776,0.0,4.6784,0.8199,71.3488,2.0796,-2.1496,8.3865,-0.2761,-0.0175,0.068,-1686000000.0,0.0,-0.821,-0.0001,2897625000.0,0.4026,2.2497,0.1818,732190500.0,6.4796,-0.0334,0.4831,4.8403,30.9234,0.0349,0.0,-15676000000.0,2688268500.0,6.0115,0.735,0.0,2.2497,-0.4272,0.8313,29.3107,10.502,5495794500.0,45.9791,-21625.7367,-0.1012,29197685000.0,-0.0012,-0.0174,65.2302,-1.0199,2018,TSLA
5,0.0,631.6092,0.0147,15.9975,5.1027,0.2904,-3476000000.0,0.2106,-0.1669,1.415,4.5252,10.1653,-3415000000.0,-0.3643,0.0,4.1425,-0.0245,91.4892,1.9705,0.0311,4.7225,-0.3167,-0.0848,0.1172,-1104150000.0,0.0,-1.3715,-0.0653,2125295500.0,0.36,2.1022,0.1722,507261500.0,4.4036,-0.0765,0.5262,71.4916,-983.6558,0.0397,0.0,-16850260000.0,2165495500.0,4.4869,0.4583,0.0,2.1022,-0.5289,0.8561,23.1813,11.0561,5386337500.0,104.429,-17.2621,-0.2199,25659725000.0,-1.396,-0.0368,86.6392,-1.9774,2017,TSLA
6,0.0,93.0214,0.0166,26.0262,4.9759,0.183,-1404631000.0,0.2046,-0.0964,1.6174,4.4715,5.652,-1280802000.0,-0.2038,0.0,3.2495,-0.0572,125.7249,1.2693,0.1835,3.236,-0.3471,-0.046,0.1192,432791000.0,0.0,-0.5921,-0.0449,1388244500.0,0.3102,2.5602,0.1741,334053500.0,3.2289,-0.0439,0.6861,9.4286,-281.2891,0.0477,0.0,-10866194000.0,1672646000.0,3.8904,0.4556,0.0,2.5602,-0.3801,1.0743,20.9551,6.0638,3310895000.0,-69.8362,-24.7978,-0.1052,15366009500.0,-0.6493,-0.0223,139.7219,-1.2294,2016,TSLA
7,0.0,0.0,0.0016,15.2427,7.9696,0.4041,-2159349000.0,0.2279,-0.2196,0.6342,7.6046,28.392,-1634850000.0,-0.8907,0.0,1.4021,-0.2727,107.091,2.488,0.5902,2.104,-0.1366,-0.1749,0.1774,-29029000.0,0.0,-0.8501,-0.0702,847047000.0,0.3342,0.5635,0.1471,197784500.0,2.7986,-0.1279,0.4939,-6.8374,-61.4782,0.0489,0.0,-4202229000.0,1115756500.0,3.6864,0.5822,0.0,0.5635,-0.7856,0.9897,20.4567,28.7317,997707050.0,-1030.8044,-14.9329,-0.2634,6949303000.0,-1.1229,-0.0287,149.3699,-3.2655,2015,TSLA
