,Beginning Cash,Assets Liabilities Change (Total),Other investing activities,Dividends Paid (Common),Accounts Payable Change,Non Cash Items (Other),Change in payables and accrued liability,Operating Cash Flow,Investments Change (Net),Capital Stock Change,Net Cash/Marketcap,Investing cash flow,Other financial activities,Dividends Paid (Total),Issuance/Purchase of Shares,Depreciation & Amortization,Financing cash flow,Long-Term Investments Change (Net),Capital expenditures,Change in Cash,Change in other assets and liabilities,Stock Based Compensation,Ending Cash,Accounts Receivable Change,Repayment/Issuance of Debt (Net),"Equity Repurchase (Common, Net)",Exchange Rate Adjustment,Net Income,Net Aquisitions,Short Term Investments Change (Net),year,ticker,Change in inventories,"Equity Repurchase (Preffered, Net)",Other operating activities,Income tax paid,Change in intangibles (net),Dividends Paid (Preffered),Discontinued Operations and Adjustments
0,20377000000.0,-10022000000.0,377000000.0,-3751000000.0,34000000.0,12561000000.0,1586000000.0,20755000000.0,-1324000000.0,-11841000000.0,0.0019,-2006000000.0,70000000.0,-3751000000.0,-11841000000.0,943000000.0,-17772000000.0,-1324000000.0,-1059000000.0,1613000000.0,-11392000000.0,765000000.0,21990000000.0,-250000000.0,-2250000000.0,-11841000000.0,636000000.0,17273000000.0,0.0,0.0,2023,V,,,,,,,
1,19799000000.0,-7657000000.0,128000000.0,-3203000000.0,67000000.0,10688000000.0,1531000000.0,18849000000.0,-1498000000.0,-11393000000.0,0.0073,-4288000000.0,-318000000.0,-3203000000.0,-11393000000.0,861000000.0,-12696000000.0,-1498000000.0,-970000000.0,578000000.0,-9158000000.0,602000000.0,20377000000.0,-97000000.0,2218000000.0,-11393000000.0,-1287000000.0,14957000000.0,-1948000000.0,0.0,2022,V,,,,,,,
2,19171000000.0,-6702000000.0,109000000.0,-2798000000.0,88000000.0,8814000000.0,999000000.0,15227000000.0,519000000.0,-8468000000.0,0.0036,-152000000.0,-144000000.0,-2798000000.0,-8468000000.0,804000000.0,-14410000000.0,519000000.0,-705000000.0,628000000.0,-7446000000.0,542000000.0,19799000000.0,-343000000.0,-3000000000.0,-8468000000.0,-37000000.0,12311000000.0,-75000000.0,0.0,2021,V,,,,,,,
3,10832000000.0,-8398000000.0,72000000.0,-2664000000.0,21000000.0,7205000000.0,633000000.0,10440000000.0,2168000000.0,-7924000000.0,0.008,1427000000.0,-592000000.0,-2664000000.0,-7924000000.0,767000000.0,-3968000000.0,2168000000.0,-736000000.0,8339000000.0,-9009000000.0,416000000.0,19171000000.0,-43000000.0,7212000000.0,-7924000000.0,440000000.0,10866000000.0,-77000000.0,0.0,2020,V,,,,,,,
4,10977000000.0,-6303000000.0,22000000.0,-2269000000.0,-24000000.0,6351000000.0,396000000.0,12784000000.0,842000000.0,-8445000000.0,0.0151,-591000000.0,-1347000000.0,-2269000000.0,-8445000000.0,656000000.0,-12061000000.0,842000000.0,-756000000.0,-145000000.0,-6342000000.0,407000000.0,10832000000.0,-333000000.0,0.0,-8445000000.0,-277000000.0,12080000000.0,-699000000.0,12000000.0,2019,V,,,,,,,
5,12011000000.0,-2439000000.0,16000000.0,-1918000000.0,3000000.0,4477000000.0,2212000000.0,12941000000.0,-2186000000.0,-7028000000.0,0.0168,-3084000000.0,-94000000.0,-1918000000.0,-7028000000.0,602000000.0,-10790000000.0,-2186000000.0,-718000000.0,-1034000000.0,-4584000000.0,327000000.0,10977000000.0,-70000000.0,-1750000000.0,-7028000000.0,-101000000.0,10301000000.0,-196000000.0,2000000.0,2018,V,,,,,,,
6,7647000000.0,-4475000000.0,-76000000.0,-1579000000.0,-30000000.0,6537000000.0,466000000.0,9317000000.0,1732000000.0,-6742000000.0,0.0176,735000000.0,-91000000.0,-1579000000.0,-6742000000.0,556000000.0,-5924000000.0,1728000000.0,-695000000.0,4364000000.0,-4857000000.0,235000000.0,12011000000.0,-54000000.0,2488000000.0,-6742000000.0,236000000.0,6699000000.0,-302000000.0,4000000.0,2017,V,,,,,,,
7,3518000000.0,-3522000000.0,16000000.0,-1350000000.0,43000000.0,2603000000.0,234000000.0,5574000000.0,-1311000000.0,-7062000000.0,0.033,-10916000000.0,-82000000.0,-1350000000.0,-7062000000.0,502000000.0,7477000000.0,-1311000000.0,-523000000.0,2101000000.0,-3734000000.0,221000000.0,5619000000.0,-65000000.0,15971000000.0,-7062000000.0,-34000000.0,5991000000.0,-9082000000.0,0.0,2016,V,,,,,,,
8,1971000000.0,-3531000000.0,0.0,-1177000000.0,-13000000.0,3293000000.0,-314000000.0,6584000000.0,-938000000.0,-2828000000.0,-0.0456,-1435000000.0,402000000.0,-1177000000.0,-2828000000.0,494000000.0,-3603000000.0,-938000000.0,-404000000.0,1547000000.0,-3185000000.0,187000000.0,3518000000.0,-19000000.0,0.0,-2828000000.0,1000000.0,6328000000.0,-93000000.0,0.0,2015,V,,,,,,,
9,2186000000.0,1143000000.0,0.0,-1006000000.0,-56000000.0,-2403000000.0,1511000000.0,7205000000.0,-239000000.0,-4027000000.0,-0.0448,-941000000.0,-1445000000.0,-1006000000.0,-4027000000.0,3027000000.0,-6478000000.0,-239000000.0,-553000000.0,-215000000.0,-259000000.0,172000000.0,1971000000.0,-53000000.0,0.0,-4027000000.0,-1000000.0,5438000000.0,-149000000.0,0.0,2014,V,,,,,,,
0,740834000000.0001,51228000000.0,-96008000000.0,-13562000000.0,,8825000000.0,58614000000.0,107119000000.0,-41811000000.0,-10596000000.0,-1.8975,-137819000000.0,-134456000000.0,-13562000000.0,-10596000000.0,7051000000.0,-126257000000.0,12467000000.0,,-173600000000.0,28491000000.0,,567234000000.0001,-4428000000.0,32357000000.0,-3162000000.0,-16643000000.0,37676000000.0,,-54278000000.0,2022,JPM,-31449000000.0,-7434000000.0,2339000000.0,,,,
1,527609000000.0001,24450000000.0,-66996000000.0,-12858000000.0,,-2234000000.0,43162000000.0,78084000000.0,-62348000000.0,-13633000000.0,-1.8033,-129344000000.0,288033000000.0,-12858000000.0,-13633000000.0,7932000000.0,275993000000.0,-96821000000.0,,213225000000.0,-80570000000.0,,740834000000.0001,-23852000000.0,14451000000.0,-18408000000.0,-11508000000.0,48334000000.0,,34473000000.0,2021,JPM,85710000000.0,4775000000.0,-398000000.0,,,,
2,263631000000.0,-136326000000.0,-34045000000.0,-12690000000.0,,15556000000.0,7415000000.0,-79910000000.0,-227867000000.0,-3447000000.0,-1.9311,-261912000000.0,603185000000.0001,-12690000000.0,-3447000000.0,8614000000.0,596645000000.0001,-180752000000.0,,263978000000.0,14034000000.0,,527609000000.0001,-9026000000.0,9597000000.0,-6517000000.0,9155000000.0,29131000000.0,,-47115000000.0,2020,JPM,-148749000000.0,3070000000.0,3115000000.0,,,,
