,Book value per Share,Revenue per Share,Cash per Share,P/FCF ratio,Capex per Share,Intangible Assets out of Total Assets,Average Receivables,Capex/Depreciation,ROA,Cash ROIC,Shareholders Equity per Share,Depreciation/Fixed assets,Net Current Asset Value,P/S ratio,Free Cash Flow per Share,Average Common Equity,Average Days of Receivables,EV/FCF,EV/EBITDA,Quick Ratio,Capex to Sales,EV/Operating CF,ROIC,Average Days of Payables,Current Ratio,Graham Number,P/B ratio,Asset Turnover,Debt/Assets,Capital Expenditures,Interest Coverage,Average Assets,P/Operating CF,Average Payables,EV/Sales,Net Debt/EBITDA,Free Cash Flow,Working Capital,Operating CF/Net income,P/E ratio,Accounts Payable Turnover,ROE,EV/EBIT,Return on Tangible Assets,Interest Debt per Share,Research and Development Expense of Revenue,Share Based Compensation of Revenue,Accounts Receivable Turnover,Graham Net Nets,Price to Tangible BV,Operating CF per Share,Net Profit Margin,Free Cash Flow Yield,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Debt/Equity,Days of Inventory on Hand,Inventory Turnover,year,ticker,Average Inventory
0,20.6797,17.4335,11.6882,21.8166,-0.5654,0.4873,4213000000.0,-1.123,0.1963,0.2137,20.6797,0.2753,-18234000000.0,13.1596,10.5158,35146000000.0,50.011,21.8583,20.0625,1.1415,0.0324,20.743,0.3518,0.0,1.4517,0.0,11.6025,0.3711,0.2261,-1059000000.0,0.0,88000000000.0,62.0326,357500000.0,13.1847,-0.0651,19696000000.0,10434000000.0,1.2016,29.3118,0.0,0.4915,20.501,1.2463,10.9253,0.0,0.0234,7.7505,-0.0424,0.0,11.0812,0.529,0.0458,0.0341,0.2771,0.5283,0.0,0.0,2023,V,
1,18.6679,15.3778,10.478,18.9385,-0.5089,0.5012,3839000000.0,-1.1266,0.1776,0.2003,18.6679,0.2671,-19715000000.0,11.5524,9.3804,33883000000.0,49.2146,19.0771,17.3366,1.1472,0.0331,18.0954,0.3089,18.8201,1.4485,52.4228,10.1813,0.3481,0.2626,-970000000.0,0.0,84198500000.0,57.6244,303000000.0,11.637,0.126,17879000000.0,9352000000.0,1.2602,25.3786,21.7624,0.4414,18.13,1.1894,11.7786,0.0,0.0205,7.6348,-0.0582,0.0,9.8893,0.5103,0.0528,0.0394,0.2738,0.631,0.0,0.0,2022,V,
2,19.316,12.3869,9.9723,29.8493,-0.3623,0.5262,3304000000.0,-0.8769,0.1503,0.1605,19.316,0.2961,-17700000000.0,17.9826,7.4625,32816500000.0,56.4194,29.9575,26.1948,1.4697,0.0292,28.5705,0.2522,16.815,1.7541,47.3958,12.5611,0.2943,0.2531,-705000000.0,0.0,81907500000.0,109.1593,220000000.0,18.0478,0.0946,14522000000.0,11868000000.0,1.2369,39.5648,26.2455,0.3751,27.5274,0.8442,10.7795,0.0,0.0225,7.2957,-0.0408,0.0,7.8248,0.5107,0.0335,0.0253,0.2806,0.5581,0.0,0.0,2021,V,
3,18.5407,11.1859,10.723,40.2454,-0.3769,0.5403,3736000000.0,-0.9596,0.1416,0.0948,18.5407,0.2802,-17064000000.0,17.877,4.9688,30173000000.0,48.1521,40.5677,26.5133,1.6419,0.0337,37.7078,0.2237,12.0307,1.9052,41.8738,12.5479,0.2847,0.2975,-736000000.0,0.0,76746500000.0,186.327,165000000.0,18.0202,0.2107,9704000000.0,13135000000.0,0.9608,40.8937,31.9939,0.3601,27.9575,0.6846,12.3246,0.0,0.019,5.8474,-0.0437,0.0,5.3456,0.4974,0.0248,0.0245,0.2866,0.6647,0.0,0.0,2020,V,
4,17.3507,11.4942,6.6428,28.5873,-0.3782,0.5847,3690000000.0,-1.1524,0.1704,0.156,17.3507,0.2434,-16920000000.0,14.9649,6.017,28879000000.0,72.9142,29.0195,22.2934,1.332,0.0329,27.3034,0.2459,11.8108,1.5632,41.8307,11.7668,0.3241,0.2305,-756000000.0,0.0,70899500000.0,85.0688,169500000.0,15.1911,0.2203,12028000000.0,7555000000.0,1.0583,32.3327,28.4425,0.4183,23.2682,1.1785,8.3687,0.0,0.0177,6.2268,-0.0492,0.0,6.3952,0.5257,0.035,0.0309,0.2698,0.4823,0.0,0.0,2019,V,
5,16.5964,10.0581,6.4422,25.2776,-0.3504,0.6176,2672000000.0,-1.1927,0.1502,0.164,16.5964,0.2435,-17003000000.0,14.9919,5.9653,27885000000.0,49.4129,25.7014,23.1741,1.4144,0.0348,24.2754,0.2163,14.9463,1.6113,37.2579,10.8273,0.3004,0.2402,-718000000.0,0.0,68601000000.0,88.8863,181000000.0,15.2432,0.253,12223000000.0,6911000000.0,1.2563,34.0384,24.6906,0.3694,24.251,1.0978,8.1162,0.0,0.0159,7.7129,-0.055,0.0,6.3158,0.4998,0.0396,0.0294,0.279,0.489,0.0,0.0,2018,V,
6,15.5703,8.7253,6.8769,25.7302,-0.3303,0.6319,2531000000.0,-1.25,0.1015,0.1077,15.5703,0.2468,-16194000000.0,12.0844,4.0979,27214500000.0,50.7795,26.1823,17.7751,1.7033,0.0379,24.2292,0.207,17.1753,1.9034,28.6582,8.1459,0.2781,0.2702,-695000000.0,0.0,66006000000.0,77.1369,191000000.0,12.2968,0.3069,8622000000.0,9029000000.0,1.3908,37.3901,19.9162,0.2462,18.5889,0.5938,8.7296,0.0,0.0128,7.2533,-0.073,0.0,4.4282,0.3649,0.0389,0.0267,0.2734,0.5607,0.0,0.0,2017,V,
7,15.1668,6.9502,4.5922,35.5294,-0.241,0.6606,1881500000.0,-1.0418,0.1159,0.0583,15.1668,0.2335,-16810000000.0,11.8989,2.3276,28518500000.0,60.6962,36.7034,22.1096,1.5502,0.0347,33.2596,0.1269,22.6868,1.7789,26.3909,6.599,0.2917,0.248,-523000000.0,0.0,51701000000.0,73.1888,165000000.0,12.2921,0.7057,5051000000.0,6267000000.0,0.9304,33.4818,19.7939,0.2101,23.5176,0.7118,7.3189,0.0,0.0147,8.0159,-0.0937,0.0,2.5687,0.3972,0.0281,0.0299,0.2838,0.4826,0.0,0.0,2016,V,
8,13.4363,6.2494,3.1909,25.0348,-0.1819,0.589,1431500000.0,-0.8178,0.1624,0.1272,13.4363,0.2617,496000000.0,11.1466,2.7825,28627500000.0,33.0025,23.8937,15.4491,1.5578,0.0291,22.4275,0.249,0.0,1.8713,27.901,5.1845,0.3562,0.0,-404000000.0,0.0,38968000000.0,89.2243,137000000.0,10.6385,-0.7415,6180000000.0,4666000000.0,1.0405,27.0524,0.0,0.221,16.2911,0.9655,0.0,0.0,0.0135,9.6961,0.0032,23.2444,2.9644,0.4559,0.0399,0.037,0.2762,0.0,0.0,0.0,2015,V,
9,12.1082,5.6104,2.4064,18.1542,-0.2443,0.6006,1655000000.0,-0.1827,0.1459,0.1617,12.1082,1.5999,-1594000000.0,9.5073,2.9382,27141500000.0,46.2069,17.3405,10.7561,1.1748,0.0435,16.0095,0.219,0.0,1.5921,24.2441,4.4053,0.3409,0.0,-553000000.0,0.0,37262500000.0,67.3518,165500000.0,9.0811,-0.508,6652000000.0,3556000000.0,1.3249,24.7231,0.0,0.2004,14.9862,0.9982,0.0,0.0,0.0135,7.6749,-0.0132,28.4212,3.1824,0.4281,0.0551,0.0404,0.2842,0.0,0.0,0.0,2014,V,
