,Accounts Receivable Turnover,Debt/Equity,Accounts Payable Turnover,Average Payables,Capex to Sales,Inventory Turnover,ROIC,Working Capital,Book value per Share,P/E ratio,Average Receivables,Price to Tangible BV,Average Inventory,P/FCF ratio,Average Common Equity,P/S ratio,Average Assets,Capital Expenditures,Average Days of Payables,EV/Sales,P/B ratio,ROE,Free Cash Flow,Average Days of Receivables,Interest Debt per Share,Capex/Depreciation,Net Profit Margin,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Return on Tangible Assets,Intangible Assets out of Total Assets,Interest Coverage,Days of Inventory on Hand,Net Current Asset Value,Free Cash Flow per Share,Net Debt/EBITDA,EV/FCF,EV/EBIT,ROA,Current Ratio,Free Cash Flow Yield,Asset Turnover,Cash ROIC,Graham Net Nets,EV/Operating CF,Operating CF/Net income,Quick Ratio,Graham Number,Depreciation/Fixed assets,Share Based Compensation of Revenue,Shareholders Equity per Share,Cash per Share,Capex per Share,P/Operating CF,Revenue per Share,EV/EBITDA,Operating CF per Share,Debt/Assets,Research and Development Expense of Revenue,year,ticker
0,7.0141,2.3695,3.7609,59439000000.0,0.0272,38.7899,0.6097,-18577000000.0,3.1248,22.5081,56219000000.0,52.5648,5763000000.0,20.1074,56881000000.0,5.6832,351878500000.0,-10708000000.0,104.6853,5.8652,44.2265,1.7546,111443000000.0,56.4002,7.4044,-0.9643,0.2531,0.0444,0.0636,4.2397,0.0,0.0,8.0757,-166678000000.0,6.8724,0.5498,20.7513,19.3643,0.2836,0.8794,0.0497,1.1206,0.3654,-0.0744,18.934,1.2239,0.7094,20.7773,0.2636,0.0229,3.1248,2.9788,-0.6603,92.8854,24.3173,17.7171,7.5328,0.3404,0.0666,2022,AAPL
1,8.2251,1.9768,4.3887,48529500000.0,0.0303,40.0303,0.544,9355000000.0,3.7776,24.9559,44475500000.0,42.9272,5320500000.0,25.4209,64214500000.0,6.4601,337445000000.0,-11085000000.0,93.8511,6.6298,37.4581,1.4744,92953000000.0,51.391,7.4676,-0.9824,0.2588,0.0401,0.0601,1.9404,0.0,0.0,11.2766,-153076000000.0,5.5656,0.5163,26.0887,22.261,0.2806,1.0746,0.0393,1.0841,0.2579,-0.0648,23.3118,1.0988,0.9097,21.9527,0.2861,0.0216,3.7776,3.7506,-0.6637,116.9916,21.9035,20.1717,6.2293,0.3553,0.0599,2021,AAPL
2,6.595,1.7208,3.8305,44266000000.0,0.0266,41.523,0.4771,38321000000.0,3.7655,35.1205,41624500000.0,35.0701,4083500000.0,27.387,77913500000.0,7.3204,331202000000.0,-7309000000.0,91.0482,7.3987,30.7557,0.7369,73365000000.0,49.7875,6.4797,-0.6611,0.2091,0.0285,0.0725,0.7646,0.0,0.0,8.7419,-114836000000.0,4.228,0.2779,27.6799,30.6397,0.1733,1.3636,0.0365,0.8288,0.1634,-0.0571,25.1759,1.4052,1.2182,16.7145,0.3007,0.0249,3.7655,5.241,-0.4212,97.6647,15.8203,26.2599,4.6492,0.3471,0.0683,2020,AAPL
3,5.489,1.194,3.1683,51062000000.0,0.0403,40.1345,0.4078,57101000000.0,4.8988,18.7571,47399500000.0,12.5435,4031000000.0,17.5567,98817500000.0,3.9751,352120500000.0,-10495000000.0,104.3141,4.0039,11.4293,0.5592,58896000000.0,64.2588,5.8494,-0.8365,0.2124,0.0533,0.0701,0.5848,0.0,0.0,9.2636,-85209000000.0,3.1885,0.0979,17.6838,16.2944,0.1569,1.5401,0.057,0.7389,0.107,-0.0824,15.012,1.2558,1.3844,18.1388,0.3357,0.0233,4.8988,5.4439,-0.5682,51.9443,14.0853,13.6211,3.7567,0.3192,0.0623,2019,AAPL
4,6.2738,1.0685,3.2709,50065000000.0,0.0501,37.1708,0.2853,15410000000.0,5.4056,18.9875,42334000000.0,11.3638,4405500000.0,17.5616,120597000000.0,4.2405,370522000000.0,-13313000000.0,124.5702,4.4219,10.5113,0.4936,64121000000.0,67.3325,5.7757,-1.221,0.2241,0.0527,0.0629,1.0497,0.0,0.0,8.8176,-127239000000.0,3.2349,0.589,18.3129,16.5652,0.1607,1.1329,0.0569,0.7168,0.1255,-0.113,15.167,1.3007,0.9945,19.0779,0.264,0.0201,5.4056,3.3449,-0.6716,57.6888,13.3993,14.3573,3.9066,0.313,0.0536,2018,AAPL
5,7.0564,0.863,3.4598,40768000000.0,0.0543,40.3744,0.2184,27831000000.0,6.4233,16.627,32486000000.0,6.3713,3493500000.0,15.4951,131148000000.0,3.5004,348502500000.0,-12451000000.0,114.4882,3.6814,5.986,0.3687,51774000000.0,56.8007,5.5432,-1.2259,0.2109,0.0601,0.0666,0.7847,0.0214,0.0,12.5636,-112627000000.0,2.4809,0.5804,16.2964,13.757,0.1387,1.2761,0.0645,0.6578,0.094,-0.1404,13.1399,1.3283,1.0897,18.2814,0.3007,0.0211,6.4233,3.5546,-0.5966,50.95,10.9844,11.8028,3.0775,0.3082,0.0505,2017,AAPL
6,7.2311,0.6786,3.61,36392000000.0,0.0604,58.6369,0.2533,27863000000.0,5.8606,13.5865,29821000000.0,5.1695,2240500000.0,11.6245,123802000000.0,2.8679,306015500000.0,-13031000000.0,103.6134,2.96,4.822,0.369,53200000000.0,49.5928,3.9771,-1.2405,0.2119,0.0736,0.0658,0.8326,0.0268,0.0,5.9233,-86568000000.0,2.4311,0.2818,11.9981,10.6341,0.1493,1.3527,0.086,0.7047,0.1389,-0.14,9.6375,1.4497,1.2208,16.5613,0.3889,0.0195,5.8606,3.0688,-0.5955,37.4053,9.8541,9.0502,3.0266,0.2705,0.0466,2016,AAPL
7,8.1205,0.539,4.2654,32843000000.0,0.0492,62.8202,0.3133,8768000000.0,5.1863,11.9265,28781000000.0,5.7521,2230000000.0,9.0962,115451000000.0,2.7158,261092000000.0,-11488000000.0,92.4687,2.813,5.3179,0.4625,69778000000.0,47.3876,2.7952,-1.0205,0.2285,0.0838,0.0613,1.7092,0.031,0.0,6.1203,-81612000000.0,3.032,0.2755,9.4219,9.2299,0.2045,1.1088,0.1099,0.8951,0.261,-0.1286,8.09,1.522,0.8925,16.427,0.501,0.0153,5.1863,1.8077,-0.4992,47.1033,10.1555,7.9703,3.5312,0.2216,0.0345,2015,AAPL
8,7.6387,0.3164,4.2714,26281500000.0,0.0537,57.9396,0.2695,5083000000.0,4.5824,15.5628,23930000000.0,5.9654,1937500000.0,12.2882,117548000000.0,3.3545,219419500000.0,-9813000000.0,98.1804,3.4104,5.4971,0.3361,49900000000.0,54.3501,1.4499,-1.235,0.2161,0.0643,0.0656,1.5369,0.0378,0.0,6.8638,-51761000000.0,2.0499,0.169,12.493,11.8736,0.1801,1.0801,0.0814,0.8331,0.2274,-0.0844,10.4399,1.5113,0.8242,12.9184,0.3853,0.0157,4.5824,1.0302,-0.4031,46.2779,7.5094,10.3128,2.4531,0.1522,0.033,2014,AAPL
0,4.5598,0.2291,3.551,18547500000.0,0.1326,21.1032,0.3891,80108000000.0,27.6958,35.0711,46474500000.0,19.6607,3121000000.0,42.6341,186382500000.0,11.9655,388408000000.0,-28107000000.0,100.279,11.6633,12.2957,0.3882,59475000000.0,83.8597,6.3439,-2.0278,0.3415,0.0285,0.1431,0.4117,0.1875,0.0,13.8545,-21496000000.0,7.9875,-0.6253,41.5576,27.9208,0.1863,1.7692,0.0235,0.5456,-0.0221,-0.0085,28.2208,1.2103,1.5358,77.7872,0.1449,0.0454,27.6958,14.9425,-3.7748,88.1356,28.4602,24.1408,11.7623,0.1147,0.1283,2023,MSFT
