,Net Aquisitions,Dividends Paid (Total),Change in other assets and liabilities,Other financial activities,Repayment/Issuance of Debt (Net),Capital Stock Change,Financing cash flow,Beginning Cash,Investments Change (Net),Net Income,Change in inventories,Stock Based Compensation,Dividends Paid (Common),Ending Cash,Issuance/Purchase of Shares,Assets Liabilities Change (Total),Accounts Receivable Change,Change in Cash,Non Cash Items (Other),Operating Cash Flow,Other investing activities,"Equity Repurchase (Common, Net)",Net Cash/Marketcap,Change in payables and accrued liability,Depreciation & Amortization,Short Term Investments Change (Net),Investing cash flow,Accounts Payable Change,Capital expenditures,Long-Term Investments Change (Net),Change in intangibles (net),year,ticker,Income tax paid,Exchange Rate Adjustment,Other operating activities,Discontinued Operations and Adjustments,"Equity Repurchase (Preffered, Net)",Dividends Paid (Preffered)
0,-306000000.0,-14841000000.0,-7909000000.0,-6383000000.0,-123000000.0,-89402000000.0,-110749000000.0,35929000000.0,-9560000000.0,99803000000.0,1484000000.0,9038000000.0,-14841000000.0,24977000000.0,-89402000000.0,1200000000.0,-1823000000.0,-10952000000.0,10044000000.0,122151000000.0,-1780000000.0,-89402000000.0,0.032,9448000000.0,11104000000.0,-9560000000.0,-22354000000.0,9448000000.0,-10708000000.0,0.0,0.0,2022,AAPL,,,,,,
1,-33000000.0,-14467000000.0,-4470000000.0,-5580000000.0,12665000000.0,-85971000000.0,-93353000000.0,39789000000.0,-3075000000.0,94680000000.0,-2642000000.0,7906000000.0,-14467000000.0,35929000000.0,-85971000000.0,-4911000000.0,-10125000000.0,-3860000000.0,2985000000.0,104038000000.0,-352000000.0,-85971000000.0,0.0263,12326000000.0,11284000000.0,-3075000000.0,-14545000000.0,12326000000.0,-11085000000.0,256000000.0,0.0,2021,AAPL,,,,,,
2,-1524000000.0,-14081000000.0,2962000000.0,-2880000000.0,2499000000.0,-72358000000.0,-86820000000.0,50224000000.0,5453000000.0,57411000000.0,-127000000.0,6829000000.0,-14081000000.0,39789000000.0,-72358000000.0,5690000000.0,6917000000.0,-10435000000.0,6517000000.0,80674000000.0,-909000000.0,-72358000000.0,0.0107,-4062000000.0,11056000000.0,5453000000.0,-4289000000.0,-4062000000.0,-7309000000.0,-118000000.0,0.0,2020,AAPL,,,,,,
3,-624000000.0,-14119000000.0,-1521000000.0,-2922000000.0,-7819000000.0,-66116000000.0,-90976000000.0,25913000000.0,58093000000.0,55256000000.0,-289000000.0,6068000000.0,-14119000000.0,50224000000.0,-66116000000.0,-3488000000.0,245000000.0,24311000000.0,5076000000.0,69391000000.0,-1078000000.0,-66116000000.0,0.0072,-1923000000.0,12547000000.0,57460000000.0,45896000000.0,-1923000000.0,-10495000000.0,633000000.0,0.0,2019,AAPL,,,,,,
4,-721000000.0,-13712000000.0,30013000000.0,-2527000000.0,432000000.0,-72069000000.0,-87876000000.0,20289000000.0,30845000000.0,59531000000.0,828000000.0,5340000000.0,-13712000000.0,25913000000.0,-72069000000.0,34694000000.0,-5322000000.0,5624000000.0,-27694000000.0,77434000000.0,-745000000.0,-72069000000.0,0.0428,9175000000.0,10903000000.0,32363000000.0,16066000000.0,9175000000.0,-13313000000.0,-1518000000.0,0.0,2018,AAPL,,,,,,
5,-329000000.0,-12769000000.0,-9073000000.0,-1874000000.0,29014000000.0,-32345000000.0,-17974000000.0,20484000000.0,-33542000000.0,48351000000.0,-2723000000.0,4840000000.0,-12769000000.0,20289000000.0,-32345000000.0,-4923000000.0,-2093000000.0,-195000000.0,10640000000.0,64225000000.0,-124000000.0,-32345000000.0,0.0517,9618000000.0,10157000000.0,-33147000000.0,-46446000000.0,8966000000.0,-12451000000.0,-395000000.0,0.0,2017,AAPL,,,,,,
6,-297000000.0,-12150000000.0,-2456000000.0,3047000000.0,22057000000.0,-30797000000.0,-20890000000.0,21120000000.0,-32022000000.0,45687000000.0,217000000.0,4210000000.0,-12150000000.0,20484000000.0,-30797000000.0,405000000.0,527000000.0,-636000000.0,9634000000.0,66231000000.0,-924000000.0,-30797000000.0,0.0321,1791000000.0,10505000000.0,-30634000000.0,-45977000000.0,2117000000.0,-12734000000.0,-1388000000.0,-297000000.0,2016,AAPL,,,,,,
7,-343000000.0,-11561000000.0,6082000000.0,-750000000.0,29305000000.0,-34710000000.0,-17716000000.0,13844000000.0,-44417000000.0,53394000000.0,-238000000.0,3586000000.0,-11561000000.0,21120000000.0,-34710000000.0,11262000000.0,417000000.0,7276000000.0,5353000000.0,81266000000.0,-26000000.0,-34710000000.0,0.0358,0.0,11257000000.0,-44417000000.0,-56274000000.0,5001000000.0,-11247000000.0,0.0,-241000000.0,2015,AAPL,,,,,,
8,-3765000000.0,-11126000000.0,5417000000.0,-419000000.0,18266000000.0,-44270000000.0,-37549000000.0,14259000000.0,-9027000000.0,39510000000.0,-76000000.0,2863000000.0,-11126000000.0,13844000000.0,-44270000000.0,7047000000.0,-4232000000.0,-415000000.0,5210000000.0,59713000000.0,26000000.0,-44270000000.0,0.0167,0.0,7946000000.0,-9017000000.0,-22579000000.0,5938000000.0,-9571000000.0,-10000000.0,-242000000.0,2014,AAPL,,,,,,
0,-1670000000.0,-19800000000.0,-1999000000.0,-1006000000.0,-2750000000.0,-20379000000.0,-43935000000.0,13931000000.0,10213000000.0,72361000000.0,1242000000.0,9611000000.0,-19800000000.0,34704000000.0,-20379000000.0,-7923000000.0,-4087000000.0,20773000000.0,9283000000.0,87582000000.0,-3116000000.0,-20379000000.0,-0.0252,-2721000000.0,13861000000.0,,-22680000000.0,-2721000000.0,-28107000000.0,10213000000.0,,2023,MSFT,-358000000.0,-194000000.0,,,,
